force,slug,fy,closed_all_t1,closed_all_t2,closed_all_t3,closed_all_t6,closed_all_t7,closed_all_t8,closed_all_t22,closed_all_oocd,closed_all_positive,closed_all_assigned,closed_ex_fraud_t1,closed_ex_fraud_t2,closed_ex_fraud_t3,closed_ex_fraud_t6,closed_ex_fraud_t7,closed_ex_fraud_t8,closed_ex_fraud_t22,closed_ex_fraud_oocd,closed_ex_fraud_positive,closed_ex_fraud_assigned,recorded_all_t1,recorded_all_t2,recorded_all_t3,recorded_all_t6,recorded_all_t7,recorded_all_t8,recorded_all_t22,recorded_all_oocd,recorded_all_positive,recorded_all_assigned,recorded_ex_fraud_t1,recorded_ex_fraud_t2,recorded_ex_fraud_t3,recorded_ex_fraud_t6,recorded_ex_fraud_t7,recorded_ex_fraud_t8,recorded_ex_fraud_t22,recorded_ex_fraud_oocd,recorded_ex_fraud_positive,recorded_ex_fraud_assigned
Lincolnshire,lincolnshire,2019/20,5784,43,896,216,375,1131,0,2661,8445,60719,5784,43,896,216,375,1131,0,2661,8445,60719,5551,27,870,212,374,1030,0,2513,8064,59791,5551,27,870,212,374,1030,0,2513,8064,59791
Lincolnshire,lincolnshire,2020/21,5737,34,834,142,427,869,0,2306,8043,56414,5737,34,834,142,427,869,0,2306,8043,56414,4072,16,760,129,403,627,0,1935,6007,47483,4072,16,760,129,403,627,0,1935,6007,47483
Lincolnshire,lincolnshire,2021/22,3526,20,704,156,283,465,0,1628,5154,49280,3526,20,704,156,283,465,0,1628,5154,49280,3771,32,727,164,284,532,0,1739,5510,50900,3771,32,727,164,284,532,0,1739,5510,50900
Lincolnshire,lincolnshire,2022/23,4471,41,762,162,194,708,0,1867,6338,56875,4471,41,762,162,194,708,0,1867,6338,56875,4746,38,782,155,186,749,1,1911,6657,57858,4746,38,782,155,186,749,1,1911,6657,57858
Lincolnshire,lincolnshire,2023/24,5006,25,692,49,1,732,1,1500,6506,50679,5006,25,692,49,1,732,1,1500,6506,50679,5190,37,690,51,1,835,0,1614,6804,54701,5190,37,690,51,1,835,0,1614,6804,54701
Lincolnshire,lincolnshire,2024/25,5605,36,586,38,4,828,0,1492,7097,54225,5605,36,586,38,4,828,0,1492,7097,54225,5341,21,590,38,2,725,4,1380,6721,50199,5341,21,590,38,2,725,4,1380,6721,50199
Lincolnshire,lincolnshire,2025/26,6039,44,600,22,0,655,48,1369,7408,53937,6039,44,600,22,0,655,48,1369,7408,53937,5290,35,527,16,0,513,55,1146,6436,50446,5290,35,527,16,0,513,55,1146,6436,50446
Merseyside,merseyside,2014/15,17749,348,2463,2143,2097,3031,0,10082,27831,97592,17749,348,2463,2143,2097,3031,0,10082,27831,97592,17284,352,2428,2123,2059,3067,0,10029,27313,96662,17284,352,2428,2123,2059,3067,0,10029,27313,96662
Merseyside,merseyside,2015/16,15233,183,1497,1333,1471,2818,0,7302,22535,100534,15233,183,1497,1333,1471,2818,0,7302,22535,100534,15284,165,1523,1315,1455,2812,0,7270,22554,101432,15284,165,1523,1315,1455,2812,0,7270,22554,101432
Merseyside,merseyside,2016/17,14146,157,1316,952,1424,2313,0,6162,20308,109401,14146,157,1316,952,1424,2313,0,6162,20308,109401,14103,165,1296,943,1437,2311,0,6152,20255,109179,14103,165,1296,943,1437,2311,0,6152,20255,109179
Merseyside,merseyside,2017/18,14306,166,1217,910,1789,2172,0,6254,20560,125355,14306,166,1217,910,1789,2172,0,6254,20560,125355,14214,164,1201,905,1776,2152,0,6198,20412,125097,14214,164,1201,905,1776,2152,0,6198,20412,125097
Merseyside,merseyside,2018/19,14570,177,1475,899,2112,1995,0,6658,21228,133948,14570,177,1475,899,2112,1995,0,6658,21228,133948,15443,181,1519,920,2164,2023,0,6807,22250,135128,15443,181,1519,920,2164,2023,0,6807,22250,135128
Merseyside,merseyside,2019/20,14575,178,1425,1064,3004,2234,0,7905,22480,135571,14575,178,1425,1064,3004,2234,0,7905,22480,135571,15479,178,1571,1062,3013,2312,54,8190,23669,136948,15479,178,1571,1062,3013,2312,54,8190,23669,136948
Merseyside,merseyside,2020/21,15158,129,1555,646,2319,2433,2395,9477,24635,129793,15158,129,1555,646,2319,2433,2395,9477,24635,129793,14015,118,1436,614,2248,2350,2969,9735,23750,127604,14015,118,1436,614,2248,2350,2969,9735,23750,127604
Merseyside,merseyside,2021/22,12223,69,789,49,162,4102,5471,10642,22865,162622,12223,69,789,49,162,4102,5471,10642,22865,162622,13336,69,709,39,131,4373,5158,10479,23815,165111,13336,69,709,39,131,4373,5158,10479,23815,165111
Merseyside,merseyside,2022/23,13992,74,661,5,43,7027,2353,10163,24155,167085,13992,74,661,5,43,7027,2353,10163,24155,167085,14355,66,714,4,40,7010,2367,10201,24556,168565,14355,66,714,4,40,7010,2367,10201,24556,168565
Merseyside,merseyside,2023/24,15296,64,589,1,15,5745,1600,8014,23310,141865,15296,64,589,1,15,5745,1600,8014,23310,141865,16514,65,648,1,15,5750,1622,8101,24615,144479,16514,65,648,1,15,5750,1622,8101,24615,144479
Merseyside,merseyside,2024/25,17481,51,700,0,1,6369,1389,8510,25991,135159,17481,51,700,0,1,6369,1389,8510,25991,135159,16594,47,693,0,0,6239,1407,8386,24980,133851,16594,47,693,0,0,6239,1407,8386,24980,133851
Merseyside,merseyside,2025/26,18047,37,723,0,0,7451,1185,9396,27443,137849,18047,37,723,0,0,7451,1185,9396,27443,137849,14769,23,570,0,0,7198,924,8715,23484,128446,14769,23,570,0,0,7198,924,8715,23484,128446
Metropolitan Police,metropolitan-police,2014/15,89895,2192,24702,7830,14957,6778,0,56459,146354,178810,89807,2192,24701,7830,14957,6778,0,56458,146265,178700,21272,562,5859,1857,3600,2309,0,14187,35459,169175,21272,562,5859,1857,3600,2309,0,14187,35459,169175
Metropolitan Police,metropolitan-police,2015/16,97434,2350,23014,6545,13927,10115,0,55951,153385,742860,97434,2350,23014,6545,13927,10115,0,55951,153385,742858,94232,2361,22612,6444,14077,9874,0,55368,149600,739614,94232,2361,22612,6444,14077,9874,0,55368,149600,739614
Metropolitan Police,metropolitan-police,2016/17,87539,2260,18201,5499,14035,7773,0,47768,135307,775129,87539,2260,18201,5499,14035,7773,0,47768,135307,775128,84939,2200,17770,5357,13998,7554,0,46879,131818,769244,84939,2200,17770,5357,13998,7554,0,46879,131818,769244
Metropolitan Police,metropolitan-police,2017/18,71571,1712,11973,3922,13020,7694,0,38321,109892,809914,71571,1712,11973,3922,13020,7694,0,38321,109892,809914,72892,1678,12233,4020,13026,8597,0,39554,112446,813656,72892,1678,12233,4020,13026,8597,0,39554,112446,813656
Metropolitan Police,metropolitan-police,2018/19,63314,1241,8971,3861,1876,20872,0,36821,100135,846356,63314,1241,8971,3861,1876,20872,0,36821,100135,846355,64209,1286,8556,3992,1251,23211,0,38296,102505,859570,64209,1286,8556,3992,1251,23211,0,38296,102505,859570
Metropolitan Police,metropolitan-police,2019/20,58057,1074,6614,5208,204,30249,2,43351,101408,788489,58057,1074,6614,5208,204,30249,2,43351,101408,788489,61850,1182,6965,5374,201,30172,29,43923,105773,902342,61850,1182,6965,5374,201,30172,29,43923,105773,902342
Metropolitan Police,metropolitan-police,2020/21,64790,1182,6552,7540,181,33000,7,48462,113252,855072,64790,1182,6552,7540,181,33000,7,48462,113252,855072,61563,995,6106,7479,129,31387,61,46157,107720,737907,61563,995,6106,7479,129,31387,61,46157,107720,737907
Metropolitan Police,metropolitan-police,2021/22,53833,801,6057,5942,40,27274,33,40147,93980,683720,53833,801,6057,5942,40,27274,33,40147,93980,683720,54726,742,6155,5825,36,27260,35,40053,94779,825973,54726,742,6155,5825,36,27260,35,40053,94779,825973
Metropolitan Police,metropolitan-police,2022/23,52423,658,5547,4567,19,22480,90,33361,85784,911868,52423,658,5547,4567,19,22480,90,33361,85784,911868,50408,540,5087,4483,7,22317,19,32453,82861,871711,50408,540,5087,4483,7,22317,19,32453,82861,871711
Metropolitan Police,metropolitan-police,2023/24,45524,406,4105,3251,18,17019,39,24838,70362,977592,45524,406,4105,3251,18,17019,39,24838,70362,977592,46550,385,3567,3191,10,16913,60,24126,70676,909025,46550,385,3567,3191,10,16913,60,24126,70676,909025
Metropolitan Police,metropolitan-police,2024/25,42003,310,2601,2688,1,18520,116,24236,66239,924297,42003,310,2601,2688,1,18520,116,24236,66239,924297,51130,321,2876,2770,0,18325,192,24484,75614,921532,51130,321,2876,2770,0,18325,192,24484,75614,921532
Metropolitan Police,metropolitan-police,2025/26,78174,333,3415,2909,8,19483,254,26402,104576,919293,78174,333,3415,2909,8,19483,254,26402,104576,919293,56411,165,2457,2655,0,18383,178,23838,80249,830557,56411,165,2457,2655,0,18383,178,23838,80249,830557
Norfolk,norfolk,2014/15,9484,614,2461,467,689,2114,0,6345,15829,41927,9484,614,2461,467,689,2114,0,6345,15829,41927,9678,684,2384,462,700,2182,0,6412,16090,43164,9678,684,2384,462,700,2182,0,6412,16090,43164
Norfolk,norfolk,2015/16,8686,499,1933,337,500,2355,0,5624,14310,45447,8686,499,1933,337,500,2355,0,5624,14310,45447,8830,462,1942,330,496,2348,0,5578,14408,47436,8830,462,1942,330,496,2348,0,5578,14408,47436
Norfolk,norfolk,2016/17,9295,293,1719,240,483,2003,0,4738,14033,49653,9295,293,1719,240,483,2003,0,4738,14033,49653,9159,303,1679,236,455,1969,0,4642,13801,50496,9159,303,1679,236,455,1969,0,4642,13801,50496
Norfolk,norfolk,2017/18,8550,273,1589,186,374,1500,0,3922,12472,54884,8550,273,1589,186,374,1500,0,3922,12472,54884,8748,289,1626,186,380,1423,2,3906,12654,56481,8748,289,1626,186,380,1423,2,3906,12654,56481
Norfolk,norfolk,2018/19,8132,224,1672,142,482,1142,11,3673,11805,62301,8132,224,1672,142,482,1142,11,3673,11805,62301,8401,199,1674,137,483,1124,18,3635,12036,61348,8401,199,1674,137,483,1124,18,3635,12036,61348
Norfolk,norfolk,2019/20,8273,212,1447,135,621,830,294,3539,11812,66141,8273,212,1447,135,621,830,294,3539,11812,66141,8391,220,1443,130,618,786,376,3573,11964,65438,8391,220,1443,130,618,786,376,3573,11964,65438
Norfolk,norfolk,2020/21,6845,177,1293,111,765,651,434,3431,10276,62749,6845,177,1293,111,765,651,434,3431,10276,62749,6764,146,1256,121,764,633,412,3332,10096,62516,6764,146,1256,121,764,633,412,3332,10096,62516
Norfolk,norfolk,2021/22,6752,127,1207,121,520,872,381,3228,9980,67271,6752,127,1207,121,520,872,381,3228,9980,67271,6963,120,1223,116,522,963,413,3357,10320,69105,6963,120,1223,116,522,963,413,3357,10320,69105
Norfolk,norfolk,2022/23,7393,68,1124,23,110,1722,463,3510,10903,67824,7393,68,1124,23,110,1722,463,3510,10903,67824,7406,81,1119,17,93,1782,491,3583,10989,67115,7406,81,1119,17,93,1782,491,3583,10989,67115
Norfolk,norfolk,2023/24,7764,69,1100,0,7,2032,419,3627,11391,60471,7764,69,1100,0,7,2032,419,3627,11391,60471,7700,78,1063,0,6,2025,393,3565,11265,59343,7700,78,1063,0,6,2025,393,3565,11265,59343
Norfolk,norfolk,2024/25,8082,71,986,0,3,2792,327,4179,12261,59393,8082,71,986,0,3,2792,327,4179,12261,59393,7994,57,957,0,3,2802,304,4123,12117,58990,7994,57,957,0,3,2802,304,4123,12117,58990
Norfolk,norfolk,2025/26,8508,50,792,0,3,2837,291,3973,12481,57956,8508,50,792,0,3,2837,291,3973,12481,57956,7093,32,732,0,3,2701,221,3689,10782,54066,7093,32,732,0,3,2701,221,3689,10782,54066
North Wales,north-wales,2014/15,7971,326,1300,451,511,1770,0,4358,12329,36144,7969,326,1300,451,511,1770,0,4358,12327,36142,7982,312,1295,449,514,1801,0,4371,12353,36710,7982,312,1295,449,514,1801,0,4371,12353,36710
North Wales,north-wales,2015/16,7705,202,1157,328,346,1731,0,3764,11469,37072,7705,202,1157,328,346,1731,0,3764,11469,37072,7779,199,1183,333,336,1760,0,3811,11590,38646,7779,199,1183,333,336,1760,0,3811,11590,38646
North Wales,north-wales,2016/17,7046,161,968,203,279,1543,0,3154,10200,38560,7046,161,968,203,279,1543,0,3154,10200,38560,7194,150,958,193,293,1498,0,3092,10286,39480,7194,150,958,193,293,1498,0,3092,10286,39480
North Wales,north-wales,2017/18,6835,145,718,138,289,988,0,2278,9113,44255,6835,145,718,138,289,988,0,2278,9113,44255,7086,169,721,141,297,1095,0,2423,9509,51575,7086,169,721,141,297,1095,0,2423,9509,51575
North Wales,north-wales,2018/19,6581,131,617,105,277,1001,0,2131,8712,61446,6581,131,617,105,277,1001,0,2131,8712,61446,6841,144,666,105,271,974,2,2162,9003,59826,6841,144,666,105,271,974,2,2162,9003,59826
North Wales,north-wales,2019/20,6343,142,552,43,139,1303,71,2250,8593,57933,6343,142,552,43,139,1303,71,2250,8593,57933,6460,122,493,29,119,1353,124,2240,8700,60584,6460,122,493,29,119,1353,124,2240,8700,60584
North Wales,north-wales,2020/21,6190,94,261,1,8,1261,446,2071,8261,62545,6190,94,261,1,8,1261,446,2071,8261,62545,5938,89,237,1,8,1174,541,2050,7988,54867,5938,89,237,1,8,1174,541,2050,7988,54867
North Wales,north-wales,2021/22,5459,80,203,0,1,1236,628,2148,7607,56613,5459,80,203,0,1,1236,628,2148,7607,56613,5804,112,199,0,0,1480,687,2478,8282,66446,5804,112,199,0,0,1480,687,2478,8282,66446
North Wales,north-wales,2022/23,5843,109,187,0,0,1558,523,2377,8220,58398,5843,109,187,0,0,1558,523,2377,8220,58398,6056,106,191,0,0,1594,661,2552,8608,60535,6056,106,191,0,0,1594,661,2552,8608,60535
North Wales,north-wales,2023/24,6024,120,180,0,0,1684,704,2688,8712,64780,6024,120,180,0,0,1684,704,2688,8712,64780,5855,128,189,0,0,1563,617,2497,8352,55240,5855,128,189,0,0,1563,617,2497,8352,55240
North Wales,north-wales,2024/25,5975,112,204,0,0,1488,650,2454,8429,52804,5975,112,204,0,0,1488,650,2454,8429,52804,5761,123,203,0,0,1512,703,2541,8302,51872,5761,123,203,0,0,1512,703,2541,8302,51872
North Wales,north-wales,2025/26,6554,140,193,0,1,2323,731,3388,9942,50682,6554,140,193,0,1,2323,731,3388,9942,50682,5728,74,154,0,1,2255,555,3039,8767,47123,5728,74,154,0,1,2255,555,3039,8767,47123
North Yorkshire,north-yorkshire,2014/15,7338,319,1143,183,647,2102,0,4394,11732,34408,7327,319,1143,183,647,2102,0,4394,11721,34385,7404,310,1166,188,644,2173,0,4481,11885,34588,7404,310,1166,188,644,2173,0,4481,11885,34588
North Yorkshire,north-yorkshire,2015/16,6693,304,1129,151,559,1907,0,4050,10743,36810,6693,304,1129,151,559,1907,0,4050,10743,36810,6989,321,1166,153,587,1994,0,4221,11210,38955,6989,321,1166,153,587,1994,0,4221,11210,38955
North Yorkshire,north-yorkshire,2016/17,6954,253,1086,134,435,2020,0,3928,10882,38274,6954,253,1086,134,435,2020,0,3928,10882,38274,6880,263,1062,124,416,1967,0,3832,10712,37549,6880,263,1062,124,416,1967,0,3832,10712,37549
North Yorkshire,north-yorkshire,2017/18,4800,107,711,84,344,1395,0,2641,7441,28362,4800,107,711,84,344,1395,0,2641,7441,28362,6432,168,958,102,374,2083,5,3690,10122,39005,6432,168,958,102,374,2083,5,3690,10122,39005
North Yorkshire,north-yorkshire,2018/19,3336,35,586,38,310,805,0,1774,5110,21559,3336,35,586,38,310,805,0,1774,5110,21559,6521,155,1019,93,384,1890,190,3731,10252,45756,6521,155,1019,93,384,1890,190,3731,10252,45756
North Yorkshire,north-yorkshire,2019/20,3502,53,567,48,274,853,0,1795,5297,26491,3502,53,567,48,274,853,0,1795,5297,26491,5639,145,772,75,356,1734,103,3185,8824,46507,5639,145,772,75,356,1734,103,3185,8824,46507
North Yorkshire,north-yorkshire,2020/21,11192,379,1543,175,622,3532,572,6823,18015,88557,11192,379,1543,175,622,3532,572,6823,18015,88557,4808,144,717,88,477,861,415,2702,7510,39155,4808,144,717,88,477,861,415,2702,7510,39155
North Yorkshire,north-yorkshire,2021/22,3968,131,608,63,247,919,504,2472,6440,43261,3968,131,608,63,247,919,504,2472,6440,43261,4458,103,626,78,328,1091,699,2925,7383,46920,4458,103,626,78,328,1091,699,2925,7383,46920
North Yorkshire,north-yorkshire,2022/23,4102,77,576,82,374,1070,645,2824,6926,45844,4102,77,576,82,374,1070,645,2824,6926,45844,4308,80,556,57,304,877,766,2640,6948,49131,4308,80,556,57,304,877,766,2640,6948,49131
North Yorkshire,north-yorkshire,2023/24,4879,78,489,37,305,836,882,2627,7506,52766,4879,78,489,37,305,836,882,2627,7506,52766,5010,62,481,38,269,820,704,2374,7384,47341,5010,62,481,38,269,820,704,2374,7384,47341
North Yorkshire,north-yorkshire,2024/25,6336,75,367,18,153,960,573,2146,8482,49594,6336,75,367,18,153,960,573,2146,8482,49594,5356,59,273,10,114,988,473,1917,7273,44457,5356,59,273,10,114,988,473,1917,7273,44457
North Yorkshire,north-yorkshire,2025/26,6117,65,192,1,2,1479,378,2117,8234,45053,6117,65,192,1,2,1479,378,2117,8234,45053,4859,34,154,1,1,1344,231,1765,6624,40262,4859,34,154,1,1,1344,231,1765,6624,40262
Northamptonshire,northamptonshire,2014/15,6846,421,1694,166,472,1982,0,4735,11581,45127,6835,421,1694,166,472,1981,0,4734,11569,45091,6749,406,1695,163,462,2035,0,4761,11510,45277,6749,406,1695,163,462,2035,0,4761,11510,45277
Northamptonshire,northamptonshire,2015/16,6504,244,1620,90,288,2089,0,4331,10835,47028,6504,244,1620,90,288,2089,0,4331,10835,47028,6879,255,1654,89,302,2094,0,4394,11273,49182,6879,255,1654,89,302,2094,0,4394,11273,49182
Northamptonshire,northamptonshire,2016/17,5643,184,1224,71,285,1352,0,3116,8759,54548,5643,184,1224,71,285,1352,0,3116,8759,54548,5824,168,1218,71,274,1286,0,3017,8841,54390,5824,168,1218,71,274,1286,0,3017,8841,54390
Northamptonshire,northamptonshire,2017/18,5421,179,983,67,255,942,0,2426,7847,53497,5421,179,983,67,255,942,0,2426,7847,53497,5639,195,988,68,267,907,0,2425,8064,54725,5639,195,988,68,267,907,0,2425,8064,54725
Northamptonshire,northamptonshire,2018/19,5328,154,997,65,381,654,0,2251,7579,59918,5328,154,997,65,381,654,0,2251,7579,59918,5636,149,1015,62,384,676,1,2287,7923,60804,5636,149,1015,62,384,676,1,2287,7923,60804
Northamptonshire,northamptonshire,2019/20,5470,147,815,49,337,675,3,2026,7496,63881,5470,147,815,49,337,675,3,2026,7496,63881,5497,165,771,46,315,682,10,1989,7486,62864,5497,165,771,46,315,682,10,1989,7486,62864
Northamptonshire,northamptonshire,2020/21,4920,173,699,0,5,1351,84,2312,7232,61309,4920,173,699,0,5,1351,84,2312,7232,61309,4667,162,721,0,1,1443,114,2441,7108,61147,4667,162,721,0,1,1443,114,2441,7108,61147
Northamptonshire,northamptonshire,2021/22,4799,214,814,0,0,2716,108,3852,8651,60039,4799,214,814,0,0,2716,108,3852,8651,60039,4937,233,816,0,1,2735,103,3888,8825,61639,4937,233,816,0,1,2735,103,3888,8825,61639
Northamptonshire,northamptonshire,2022/23,5210,141,732,0,1,2725,280,3879,9089,64279,5210,141,732,0,1,2725,280,3879,9089,64279,5032,98,710,0,0,2734,303,3845,8877,63679,5032,98,710,0,0,2734,303,3845,8877,63679
Northamptonshire,northamptonshire,2023/24,5519,74,623,0,0,2268,389,3354,8873,60189,5519,74,623,0,0,2268,389,3354,8873,60189,5648,70,618,0,0,2229,433,3350,8998,59826,5648,70,618,0,0,2229,433,3350,8998,59826
Northamptonshire,northamptonshire,2024/25,6301,88,574,0,0,1708,312,2682,8983,59265,6301,88,574,0,0,1708,312,2682,8983,59265,5936,90,570,0,0,1673,243,2576,8512,58456,5936,90,570,0,0,1673,243,2576,8512,58456
Northamptonshire,northamptonshire,2025/26,6159,78,565,0,0,1410,157,2210,8369,57068,6159,78,565,0,0,1410,157,2210,8369,57068,5039,55,494,0,0,1298,145,1992,7031,52650,5039,55,494,0,0,1298,145,1992,7031,52650
Northumbria,northumbria,2014/15,20000,1013,4762,502,819,2630,0,9726,29726,68362,20000,1013,4762,502,819,2630,0,9726,29726,68362,19862,1035,4749,494,803,2654,0,9735,29597,72594,19862,1035,4749,494,803,2654,0,9735,29597,72594
Northumbria,northumbria,2015/16,18764,857,3681,329,607,3133,0,8607,27371,91618,18764,857,3681,329,607,3133,0,8607,27371,91618,19198,872,3738,332,618,3215,0,8775,27973,93482,19198,872,3738,332,618,3215,0,8775,27973,93482
Northumbria,northumbria,2016/17,16032,756,2912,316,496,3024,0,7504,23536,122737,16032,756,2912,316,496,3024,0,7504,23536,122737,16038,776,2925,320,487,2969,0,7477,23515,123431,16038,776,2925,320,487,2969,0,7477,23515,123431
Northumbria,northumbria,2017/18,15365,783,2646,261,462,2393,0,6545,21910,149268,15365,783,2646,261,462,2393,0,6545,21910,149268,15703,766,2673,256,464,2405,0,6564,22267,151467,15703,766,2673,256,464,2405,0,6564,22267,151467
Northumbria,northumbria,2018/19,14946,560,2738,232,491,1837,1,5859,20805,156465,14946,560,2738,232,491,1837,1,5859,20805,156465,15236,552,2760,231,497,1763,2,5805,21041,156323,15236,552,2760,231,497,1763,2,5805,21041,156323
Northumbria,northumbria,2019/20,13147,494,2526,208,598,1162,134,5122,18269,143369,13147,494,2526,208,598,1162,134,5122,18269,143369,13184,424,2441,201,602,1128,255,5051,18235,146246,13184,424,2441,201,602,1128,255,5051,18235,146246
Northumbria,northumbria,2020/21,12055,110,2013,173,634,552,455,3937,15992,120068,12055,110,2013,173,634,552,455,3937,15992,120068,11615,93,2050,177,632,522,424,3898,15513,120978,11615,93,2050,177,632,522,424,3898,15513,120978
Northumbria,northumbria,2021/22,8851,192,2069,128,379,561,554,3883,12734,131719,8851,192,2069,128,379,561,554,3883,12734,131719,9187,224,2076,127,382,584,633,4026,13213,135205,9187,224,2076,127,382,584,633,4026,13213,135205
Northumbria,northumbria,2022/23,9082,201,1821,104,381,576,571,3654,12736,142216,9082,201,1821,104,381,576,571,3654,12736,142216,9169,202,1811,100,383,555,593,3644,12813,141673,9169,202,1811,100,383,555,593,3644,12813,141673
Northumbria,northumbria,2023/24,11889,197,1584,41,309,560,757,3448,15337,141392,11889,197,1584,41,309,560,757,3448,15337,141392,12580,204,1677,38,276,711,821,3727,16307,143147,12580,204,1677,38,276,711,821,3727,16307,143147
Northumbria,northumbria,2024/25,15383,202,1448,0,6,4211,979,6846,22229,133909,15383,202,1448,0,6,4211,979,6846,22229,133909,15292,218,1577,0,4,4530,994,7323,22615,136290,15292,218,1577,0,4,4530,994,7323,22615,136290
Northumbria,northumbria,2025/26,15810,174,1240,1,1,4030,762,6208,22018,130404,15810,174,1240,1,1,4030,762,6208,22018,130404,13537,106,987,1,2,3662,633,5391,18928,122552,13537,106,987,1,2,3662,633,5391,18928,122552
Nottinghamshire,nottinghamshire,2014/15,14358,432,2258,217,773,3634,0,7314,21672,73003,14356,432,2258,217,773,3634,0,7314,21670,72989,14530,442,2300,220,782,3616,0,7360,21890,72158,14530,442,2300,220,782,3616,0,7360,21890,72158
Nottinghamshire,nottinghamshire,2015/16,13291,372,1625,165,413,2703,0,5278,18569,70400,13291,372,1625,165,413,2703,0,5278,18569,70400,13689,408,1699,187,456,2812,0,5562,19251,72132,13689,408,1699,187,456,2812,0,5562,19251,72132
Nottinghamshire,nottinghamshire,2016/17,11858,280,1214,143,410,2401,0,4448,16306,81630,11858,280,1214,143,410,2401,0,4448,16306,81630,12483,298,1201,130,386,2329,0,4344,16827,82258,12483,298,1201,130,386,2329,0,4344,16827,82258
Nottinghamshire,nottinghamshire,2017/18,12355,340,1132,136,329,1693,0,3630,15985,95228,12355,340,1132,136,329,1693,0,3630,15985,95228,12652,335,1137,138,335,1726,0,3671,16323,97320,12652,335,1137,138,335,1726,0,3671,16323,97320
Nottinghamshire,nottinghamshire,2018/19,12204,250,1257,139,486,1725,0,3857,16061,105446,12204,250,1257,139,486,1725,0,3857,16061,105446,12947,235,1280,137,511,1783,1,3947,16894,107917,12947,235,1280,137,511,1783,1,3947,16894,107917
Nottinghamshire,nottinghamshire,2019/20,12431,189,1151,174,812,1640,0,3966,16397,108034,12431,189,1151,174,812,1640,0,3966,16397,108034,12240,187,1138,175,792,1576,2,3870,16110,107141,12240,187,1138,175,792,1576,2,3870,16110,107141
Nottinghamshire,nottinghamshire,2020/21,9365,190,1200,279,887,1300,58,3914,13279,87245,9365,190,1200,279,887,1300,58,3914,13279,87245,8965,168,1207,286,892,1277,66,3896,12861,85099,8965,168,1207,286,892,1277,66,3896,12861,85099
Nottinghamshire,nottinghamshire,2021/22,8575,215,1306,260,706,2391,237,5115,13690,96680,8575,215,1306,260,706,2391,237,5115,13690,96680,9172,250,1359,257,701,2535,343,5445,14617,99532,9172,250,1359,257,701,2535,343,5445,14617,99532
Nottinghamshire,nottinghamshire,2022/23,9976,205,1315,226,527,2860,691,5824,15800,105417,9976,205,1315,226,527,2860,691,5824,15800,105417,10084,189,1284,223,511,2807,758,5772,15856,105018,10084,189,1284,223,511,2807,758,5772,15856,105018
Nottinghamshire,nottinghamshire,2023/24,11513,151,1264,151,259,2692,1052,5569,17082,103133,11513,151,1264,151,259,2692,1052,5569,17082,103133,11203,121,1287,139,240,2728,1005,5520,16723,101669,11203,121,1287,139,240,2728,1005,5520,16723,101669
Nottinghamshire,nottinghamshire,2024/25,12211,50,1200,70,109,2663,938,5030,17241,98433,12211,50,1200,70,109,2663,938,5030,17241,98433,11760,31,1111,68,102,2633,982,4927,16687,97538,11760,31,1111,68,102,2633,982,4927,16687,97538
Nottinghamshire,nottinghamshire,2025/26,13280,25,1001,0,0,2496,973,4495,17775,101195,13280,25,1001,0,0,2496,973,4495,17775,101195,11261,20,887,0,0,2328,858,4093,15354,95585,11261,20,887,0,0,2328,858,4093,15354,95585
South Wales,south-wales,2014/15,18107,251,2991,1455,843,1027,0,6567,24674,88439,18105,251,2991,1455,843,1027,0,6567,24672,88434,18272,254,2984,1423,859,1003,0,6523,24795,88896,18272,254,2984,1423,859,1003,0,6523,24795,88896
South Wales,south-wales,2015/16,18177,254,2965,1347,789,1270,0,6625,24802,87852,18177,254,2965,1347,789,1270,0,6625,24802,87852,18324,240,2951,1352,747,1393,0,6683,25007,89119,18324,240,2951,1352,747,1393,0,6683,25007,89119
South Wales,south-wales,2016/17,17528,180,2176,792,558,3646,0,7352,24880,93879,17528,180,2176,792,558,3646,0,7352,24880,93879,17434,182,2134,780,559,3791,1,7447,24881,94853,17434,182,2134,780,559,3791,1,7447,24881,94853
South Wales,south-wales,2017/18,16269,164,1735,553,603,3848,0,6903,23172,104845,16269,164,1735,553,603,3848,0,6903,23172,104845,16526,173,1736,550,611,3753,2,6825,23351,104884,16526,173,1736,550,611,3753,2,6825,23351,104884
South Wales,south-wales,2018/19,15660,173,1666,368,773,3182,0,6162,21822,108184,15660,173,1666,368,773,3182,0,6162,21822,108184,16410,184,1694,367,763,3354,21,6383,22793,111535,16410,184,1694,367,763,3354,21,6383,22793,111535
South Wales,south-wales,2019/20,13696,176,1272,311,808,3032,287,5886,19582,104493,13696,176,1272,311,808,3032,287,5886,19582,104493,13769,177,1293,311,867,3079,463,6190,19959,110520,13769,177,1293,311,867,3079,463,6190,19959,110520
South Wales,south-wales,2020/21,11884,122,959,227,949,2492,470,5219,17103,88733,11884,122,959,227,949,2492,470,5219,17103,88733,12289,103,965,248,1046,2624,498,5484,17773,94969,12289,103,965,248,1046,2624,498,5484,17773,94969
South Wales,south-wales,2021/22,11067,106,788,207,755,3505,616,5977,17044,116583,11067,106,788,207,755,3505,616,5977,17044,116583,10435,105,733,167,585,3361,431,5382,15817,103953,10435,105,733,167,585,3361,431,5382,15817,103953
